File mappings for integration of Perl 5.6.1 into Solaris 9,,,,,,,,,
"Version 6, 30/05/2001",,,,,,,,,
,,,,,,,,,
./ext/ByteLoader/,ByteLoader.bs,,,X,delete,X
./ext/ByteLoader/,ByteLoader.c,,,X,delete,X
./ext/ByteLoader/,ByteLoader.pm,,,X,distrib,X
./ext/ByteLoader/,ByteLoader.xs,,,X,distrib,X
./ext/ByteLoader/,Makefile,,,X,delete,X
./ext/ByteLoader/,Makefile.PL,,,X,distrib,X
./ext/ByteLoader/,bytecode.h,,,X,distrib,X
./ext/ByteLoader/,byterun.c,,,X,distrib,X
./ext/ByteLoader/,byterun.h,,,X,distrib,X
./ext/ByteLoader/,pm_to_blib,,,X,delete,X
./ext/ByteLoader/hints/,sunos.pl,,,X,delete,X
./ext/DB_File/,Changes,X,distrib,X,delete,
./ext/DB_File/,DB_File.pm,X,distrib,X,distrib,
./ext/DB_File/,DB_File.xs,X,distrib,X,distrib,
./ext/DB_File/,DB_File_BS,X,distrib,X,delete,
./ext/DB_File/,Makefile.PL,X,distrib,X,distrib,
./ext/DB_File/,dbinfo,X,distrib,X,delete,
./ext/DB_File/,typemap,X,distrib,X,distrib,
./ext/DB_File/,version.c,,,X,distrib,X
./ext/DB_File/hints/,dynixptx.pl,X,distrib,X,delete,
./ext/DB_File/hints/,sco.pl,,,X,delete,X
./ext/Data/Dumper/,Changes,X,distrib,X,delete,
./ext/Data/Dumper/,Dumper.bs,X,,X,delete,
./ext/Data/Dumper/,Dumper.c,X,,X,delete,
./ext/Data/Dumper/,Dumper.pm,X,distrib,X,distrib,
./ext/Data/Dumper/,Dumper.xs,X,distrib,X,distrib,
./ext/Data/Dumper/,Makefile,X,,X,delete,
./ext/Data/Dumper/,Makefile.PL,X,distrib,X,distrib,
./ext/Data/Dumper/,Todo,X,distrib,X,delete,
./ext/Data/Dumper/,pm_to_blib,X,,X,delete,
./ext/Devel/DProf/,Changes,,,X,delete,X
./ext/Devel/DProf/,DProf.bs,,,X,delete,X
./ext/Devel/DProf/,DProf.c,,,X,delete,X
./ext/Devel/DProf/,DProf.pm,,,X,distrib,X
./ext/Devel/DProf/,DProf.xs,,,X,distrib,X
./ext/Devel/DProf/,Makefile,,,X,delete,X
./ext/Devel/DProf/,Makefile.PL,,,X,distrib,X
./ext/Devel/DProf/,Todo,,,X,delete,X
./ext/Devel/DProf/,pm_to_blib,,,X,delete,X
./ext/Devel/Peek/,Changes,,,X,delete,X
./ext/Devel/Peek/,Makefile,,,X,delete,X
./ext/Devel/Peek/,Makefile.PL,,,X,distrib,X
./ext/Devel/Peek/,Peek.bs,,,X,delete,X
./ext/Devel/Peek/,Peek.c,,,X,delete,X
./ext/Devel/Peek/,Peek.pm,,,X,distrib,X
./ext/Devel/Peek/,Peek.xs,,,X,distrib,X
